STATION,COUNTY,STATE_CODE,Lat,Long
USC00042500,Sierra,06,39.5633,-120.8239
USC00042863,San Diego,06,33.1211,-117.09
USC00262243,Clark,32,36.4381,-115.36
USC00048606,Yuba,06,39.5631,-121.1078
USC00043392,Los Angeles,06,34.0869,-118.4794
USC00047874,San Diego,06,33.0956,-116.9975
USC00047085,Plumas,06,39.8053,-120.4719
USC00268588,Clark,32,36.4303,-114.5139
USC00260507,Lander,32,39.4931,-117.0675
USC00043714,San Mateo,06,37.4725,-122.4433
USC00042506,Lassen,06,39.9717,-120.0828
USW00023179,San Bernardino,06,34.7675,-114.6189
USC00040790,Monterey,06,36.2472,-121.7803
USC00046657,San Diego,06,33.3781,-116.84
USC00024761,Mohave,04,34.5031,-114.3603
USC00049001,Alameda,06,37.7958,-121.5831
USC00049122,Mendocino,06,39.1467,-123.2103
USC00029656,Yuma,04,32.7275,-114.6217
USC00043261,Fresno,06,36.9969,-119.7072
USC00040673,Santa Cruz,06,37.0856,-122.0797
USC00042294,Yolo,06,38.535,-121.7761
USC00046773,Los Angeles,06,34.5025,-117.8969
USC00264095,Elko,32,40.4447,-115.6581
USC00049367,Tulare,06,36.3283,-119.2997
USC00049490,Trinity,06,40.7367,-122.9403
USW00023161,San Bernardino,06,34.8536,-116.7858
USC00265191,Douglas,32,38.9547,-119.7758
USC00267123,Elko,32,40.2022,-115.493
USC00047195,Plumas,06,39.9367,-120.9475
USC00040436,San Bernardino,06,35.2761,-116.0628
USC00267369,Clark,32,35.4661,-114.9217
USC00043824,Shasta,06,40.9317,-121.5433
USW00023169,Clark,32,36.0719,-115.1633
USW00024257,Shasta,06,40.5175,-122.2986
USC00044223,Imperial,06,32.8489,-115.5667
USC00046646,Santa Clara,06,37.4436,-122.1403
USC00041072,Mono,06,38.2575,-119.2286
USC00261371,Clark,32,36.1414,-114.7275
USC00263671,Lincoln,32,37.5581,-115.2236
USC00049111,Santa Barbara,06,34.9881,-120.3211
USC00049473,Santa Cruz,06,36.9308,-121.7692
USC00041194,Los Angeles,06,34.1867,-118.3481
USC00047851,San Luis Obispo,06,35.3056,-120.6619
USC00045795,Monterey,06,36.5903,-121.9056
USC00022790,La Paz,04,33.6133,-114.4706
USW00003104,Riverside,06,33.6267,-116.1594
USC00041758,San Diego,06,32.64,-117.0858
USC00043939,Tuolumne,06,37.9614,-119.7831
USC00043244,Alameda,06,37.5422,-122.0158
USC00047965,Sonoma,06,38.4558,-122.7133
USC00265846,Clark,32,36.5508,-114.4581
USC00046635,Riverside,06,33.8275,-116.5097
USC00267908,Nye,32,38.4231,-115.0225
USC00261485,Carson City,32,39.1253,-119.7678
USC00265722,Elko,32,41.0333,-114.4714
USC00041864,Fresno,06,36.1356,-120.3606
USC00047846,Merced,06,37.0533,-121.0578
USC00260150,Nye,32,36.5717,-116.4619
USC00265168,Mineral,32,38.3878,-118.1092
USC00046074,Napa,06,38.2778,-122.2647
USC00262570,Elko,32,40.8603,-115.7425
USC00044211,Riverside,06,33.7572,-116.7067
USW00093193,Fresno,06,36.78,-119.7194
USW00023185,Washoe,32,39.4839,-119.7711
USC00047050,Los Angeles,06,34.0817,-117.7658
USC00042713,Imperial,06,32.7669,-115.5617
USC00260718,Nye,32,36.995,-116.7189
USC00260955,Nye,32,38.5208,-115.5444
USC00045532,Merced,06,37.2889,-120.5158
