County,CropTypes,Year,STATEFP,COUNTYFP,GEOID,ALAND,AWATER,Count
Alameda,Almonds,2010,6,1,6001,1909614756.0,216907015.0,206
Alameda,Grapes,2010,6,1,6001,1909614756.0,216907015.0,307
Alameda,Other Hay/Non Alfalfa,2010,6,1,6001,1909614756.0,216907015.0,1603
Alameda,Rice,2010,6,1,6001,1909614756.0,216907015.0,179
Alameda,Tomatoes,2010,6,1,6001,1909614756.0,216907015.0,25
Alameda,Walnuts,2010,6,1,6001,1909614756.0,216907015.0,372
Alpine,Other Hay/Non Alfalfa,2010,6,3,6003,1912292608.0,12557304.0,803
Amador,Almonds,2010,6,5,6005,1539933596.0,29470567.0,188
Amador,Grapes,2010,6,5,6005,1539933596.0,29470567.0,955
Amador,Lettuce,2010,6,5,6005,1539933596.0,29470567.0,6
Amador,Other Hay/Non Alfalfa,2010,6,5,6005,1539933596.0,29470567.0,16036
Amador,Pistachios,2010,6,5,6005,1539933596.0,29470567.0,8
Amador,Rice,2010,6,5,6005,1539933596.0,29470567.0,64
Amador,Tomatoes,2010,6,5,6005,1539933596.0,29470567.0,4
Amador,Walnuts,2010,6,5,6005,1539933596.0,29470567.0,978
Butte,Almonds,2010,6,7,6007,4238488156.0,105261063.0,279041
Butte,Grapes,2010,6,7,6007,4238488156.0,105261063.0,529
Butte,Oranges,2010,6,7,6007,4238488156.0,105261063.0,119
Butte,Other Hay/Non Alfalfa,2010,6,7,6007,4238488156.0,105261063.0,9576
Butte,Pistachios,2010,6,7,6007,4238488156.0,105261063.0,1758
Butte,Rice,2010,6,7,6007,4238488156.0,105261063.0,436654
Butte,Tomatoes,2010,6,7,6007,4238488156.0,105261063.0,20
Butte,Walnuts,2010,6,7,6007,4238488156.0,105261063.0,171907
Calaveras,Almonds,2010,6,9,6009,2641784992.0,43841871.0,461
Calaveras,Grapes,2010,6,9,6009,2641784992.0,43841871.0,173
Calaveras,Lettuce,2010,6,9,6009,2641784992.0,43841871.0,2
Calaveras,Other Hay/Non Alfalfa,2010,6,9,6009,2641784992.0,43841871.0,2369
Calaveras,Pistachios,2010,6,9,6009,2641784992.0,43841871.0,88
Calaveras,Rice,2010,6,9,6009,2641784992.0,43841871.0,38
Calaveras,Tomatoes,2010,6,9,6009,2641784992.0,43841871.0,1
Calaveras,Walnuts,2010,6,9,6009,2641784992.0,43841871.0,1521
Colusa,Almonds,2010,6,11,6011,2980332742.0,14608887.0,185783
Colusa,Grapes,2010,6,11,6011,2980332742.0,14608887.0,679
Colusa,Oranges,2010,6,11,6011,2980332742.0,14608887.0,88
Colusa,Other Hay/Non Alfalfa,2010,6,11,6011,2980332742.0,14608887.0,9682
Colusa,Pistachios,2010,6,11,6011,2980332742.0,14608887.0,1787
Colusa,Rice,2010,6,11,6011,2980332742.0,14608887.0,725736
Colusa,Strawberries,2010,6,11,6011,2980332742.0,14608887.0,1
Colusa,Tomatoes,2010,6,11,6011,2980332742.0,14608887.0,8750
Colusa,Walnuts,2010,6,11,6011,2980332742.0,14608887.0,86300
Contra Costa,Almonds,2010,6,13,6013,1857229826.0,225285866.0,1311
Contra Costa,Grapes,2010,6,13,6013,1857229826.0,225285866.0,5059
Contra Costa,Lettuce,2010,6,13,6013,1857229826.0,225285866.0,1
