County,CropTypes,Year,STATEFP,COUNTYFP,GEOID,ALAND,AWATER,Count
Alachua,Corn,2010,12,1,12001,2267634813,241567998,13779
Alachua,Potatoes,2010,12,1,12001,2267634813,241567998,79
Alachua,Tomatoes,2010,12,1,12001,2267634813,241567998,182
Baker,Corn,2010,12,3,12003,1515738968,9686120,1129
Baker,Potatoes,2010,12,3,12003,1515738968,9686120,1
Baker,Tomatoes,2010,12,3,12003,1515738968,9686120,44
Bay,Corn,2010,12,5,12005,1964743641,711110042,933
Bradford,Corn,2010,12,7,12007,761362115,16905201,3048
Bradford,Potatoes,2010,12,7,12007,761362115,16905201,5
Bradford,Tomatoes,2010,12,7,12007,761362115,16905201,12
Brevard,Citrus,2010,12,9,12009,2628793422,1403880653,28055
Brevard,Oranges,2010,12,9,12009,2628793422,1403880653,33583
Brevard,Sugarcane,2010,12,9,12009,2628793422,1403880653,138
Brevard,Tomatoes,2010,12,9,12009,2628793422,1403880653,1
Broward,Citrus,2010,12,11,12011,3115289087,310801098,3695
Broward,Sugarcane,2010,12,11,12011,3115289087,310801098,10438
Calhoun,Corn,2010,12,13,12013,1469394565,18070425,2636
Charlotte,Blueberries,2010,12,15,12015,1764058559,458736680,2
Charlotte,Citrus,2010,12,15,12015,1764058559,458736680,4114
Charlotte,Oranges,2010,12,15,12015,1764058559,458736680,118526
Charlotte,Strawberries,2010,12,15,12015,1764058559,458736680,7
Charlotte,Tomatoes,2010,12,15,12015,1764058559,458736680,14
Charlton,Corn,2010,13,49,13049,2020415647,5963237,2
Citrus,Blueberries,2010,12,17,12017,1507142302,495547944,21
Citrus,Citrus,2010,12,17,12017,1507142302,495547944,139
Citrus,Oranges,2010,12,17,12017,1507142302,495547944,97
Citrus,Strawberries,2010,12,17,12017,1507142302,495547944,7
Clay,Citrus,2010,12,19,12019,1565946418,100824283,2
Clay,Corn,2010,12,19,12019,1565946418,100824283,255
Clay,Potatoes,2010,12,19,12019,1565946418,100824283,1470
Clay,Tomatoes,2010,12,19,12019,1565946418,100824283,88
Collier,Citrus,2010,12,21,12021,5172045734,797817705,9479
Collier,Oranges,2010,12,21,12021,5172045734,797817705,220922
Collier,Sugarcane,2010,12,21,12021,5172045734,797817705,1300
Collier,Tomatoes,2010,12,21,12021,5172045734,797817705,130
Columbia,Corn,2010,12,23,12023,2065648366,9755972,5084
Columbia,Potatoes,2010,12,23,12023,2065648366,9755972,4
Columbia,Tomatoes,2010,12,23,12023,2065648366,9755972,69
DeSoto,Citrus,2010,12,27,12027,1649027549,6243548,1907
DeSoto,Oranges,2010,12,27,12027,1649027549,6243548,506697
DeSoto,Tomatoes,2010,12,27,12027,1649027549,6243548,8
Dixie,Corn,2010,12,29,12029,1826222177,410621177,3292
Dixie,Potatoes,2010,12,29,12029,1826222177,410621177,38
Dixie,Tomatoes,2010,12,29,12029,1826222177,410621177,3
Duval,Corn,2010,12,31,12031,1975200913,403608266,193
