"STATION","Lat","Long","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"USC00392984",44.0517,-96.5928,"57028","Moody County","SD",17,-96.788888,-96.453085,44.195684,43.890997
"USC00124244",41.6317,-87.0881,"46304","Porter County","IN",7,-87.146568,-86.951463,41.690053,41.549865
"USC00148578",39.8089,-97.055,"66968","Washington County","KS",11,-97.218482,-96.932448,39.944539,39.711579
"USC00252205",41.2492,-97.1328,"68632","Butler County","NE",12,-97.310634,-96.985299,41.368687,41.104535
"USC00135493",43.3828,-95.1842,NA,NA,NA,NA,NA,NA,NA,NA
"USC00116610",39.6186,-87.6672,"61944","Edgar County","IL",12,-87.882203,-87.531666,39.744844,39.476401
"USC00135131",42.0772,-90.6647,"52060","Jackson County","IA",11,-90.83043,-90.524518,42.208312,41.989056
"USC00110072",41.1978,-90.7447,"61231","Mercer County","IL",11,-90.860299,-90.585979,41.328853,41.06833
"USC00231748",38.4844,-93.2556,"65325","Benton County","MO",10,-93.367207,-93.067294,38.535388,38.302355
"USC00478171",44.5114,-89.5853,"54481","Portage County","WI",9,-89.7472,-89.518155,44.598857,44.445343
"USC00136103",43.4386,-93.2253,"50459","Worth County","IA",16,-93.497384,-93.044596,43.499651,43.361788
"USC00471416",43.0597,-89.4819,"53719","Dane County","WI",3,-89.537422,-89.448343,43.061531,42.993313
"USC00116970",40.5914,-90.4642,"61470","McDonough County","IL",4,-90.578691,-90.445506,40.63074,40.56907
"USC00137312",42.4194,-94.9761,"50583","Sac County","IA",10,-95.108978,-94.877045,42.547061,42.325375
"USC00250375",41.0408,-96.3811,"68003","Saunders County","NE",12,-96.521355,-96.236124,41.206113,40.957035
"USC00472869",42.905,-88.8589,"53538","Jefferson County","WI",12,-89.013489,-88.659928,43.015562,42.824319
"USC00130807",42.0417,-93.8908,"50036","Boone County","IA",13,-94.007555,-93.698654,42.209709,41.950318
"USC00134049",42.5269,-91.8781,"50644","Buchanan County","IA",10,-92.031028,-91.736825,42.578247,42.369789
"USC00113106",38.6781,-88.4797,"62839","Clay County","IL",7,-88.584699,-88.410196,38.737523,38.602879
"USC00391777",44.7575,-96.6831,"57226","Deuel County","SD",15,-96.925508,-96.536958,44.933864,44.630567
"USC00115888",38.4106,-87.7578,"62863","Wabash County","IL",15,-87.992226,-87.730134,38.57001,38.236297
"USC00115768",40.9442,-90.6381,"61462","Warren County","IL",11,-90.825504,-90.517112,41.067595,40.785075
"USC00116616",41.4947,-87.6803,"60466","Cook County","IL",3,-87.709872,-87.652514,41.506176,41.447332
"USC00118916",41.5603,-89.6025,"61376","Bureau County","IL",10,-89.758371,-89.49685,41.627254,41.453005
"USC00113109",38.7103,-88.5758,"62858","Clay County","IL",11,-88.685309,-88.361014,38.927933,38.709529
"USC00116738",39.8058,-90.8239,"62314","Pike County","IL",7,-90.977989,-90.776463,39.845075,39.68948
"USC00148563",39.2142,-96.37,"66547","Pottawatomie County","KS",12,-96.41741,-96.202445,39.362507,39.086674
"USC00127522",39.7594,-87.2269,"47872","Parke County","IN",14,-87.340537,-86.999441,39.87493,39.644338
"USC00234904",39.1828,-93.855,"64067","Lafayette County","MO",10,-93.950458,-93.687981,39.215505,39.083871
"USC00215488",44.16,-91.8122,"55959","Winona County","MN",7,-91.87156,-91.707586,44.192131,44.02382
"USC00111280",39.2883,-89.8703,"62626","Macoupin County","IL",11,-90.036834,-89.702783,39.39909,39.150695
"USC00472851",44.6997,-87.3969,"54235","Door County","WI",16,-87.629283,-87.160504,44.989005,44.675581
"USC00111160",38.5669,-90.1942,"62206","St. Clair County","IL",4,-90.224055,-90.104477,38.600906,38.541596
"USC00472973",43.975,-89.8308,"53934","Adams County","WI",16,-89.981684,-89.618121,44.112016,43.818251
"USC00112483",37.9878,-89.1931,"62832","Perry County","IL",9,-89.378884,-89.130429,38.083096,37.935597
"USC00114780",40.9025,-90.2897,"61448","Knox County","IL",7,-90.327605,-90.184334,41.034153,40.845004
"USC00113455",40.8822,-91.0233,"61437","Henderson County","IL",7,-91.091569,-90.911473,40.895697,40.776095
"USC00259193",41.2211,-96.7775,"68070","Saunders County","NE",7,-96.908829,-96.697505,41.264104,41.118269
"USC00115515",38.0844,-88.5425,"62859","Hamilton County","IL",9,-88.705259,-88.373038,38.211933,37.950906
"USC00145063",39.8383,-96.6364,"66508","Marshall County","KS",13,-96.789996,-96.463648,40.001541,39.710969
