"DATE","normalAvgTemp","normalAvgTempStd","normalMaxTemp","normalMaxTempStd","normalMinTemp","normalMinTempStd","normalMtdPrcp","normalMtdSnow","ELEVATION","STATION","Long","Lat","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"01-01",21,12.5,31,11.5,11.1,14.8,0.08,0.6,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-02",20.8,12.6,30.9,11.6,10.8,15,0.17,1.3,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-03",20.6,12.7,30.7,11.6,10.5,15.1,0.25,1.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-04",20.4,12.8,30.6,11.7,10.2,15.2,0.34,2.5,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-05",20.2,12.9,30.4,11.8,9.9,15.4,0.42,3.1,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-06",19.9,13,30.3,11.9,9.6,15.5,0.51,3.7,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-07",19.7,13.2,30.1,12,9.4,15.6,0.59,4.3,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-08",19.5,13.3,30,12.1,9.1,15.8,0.67,4.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-09",19.4,13.4,29.9,12.2,8.8,15.9,0.75,5.5,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-10",19.2,13.5,29.8,12.2,8.6,16,0.83,6.1,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-11",19,13.6,29.6,12.3,8.4,16.1,0.91,6.7,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-12",18.8,13.6,29.5,12.4,8.1,16.2,1,7.2,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-13",18.7,13.7,29.4,12.4,7.9,16.3,1.08,7.8,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-14",18.5,13.8,29.4,12.4,7.7,16.4,1.15,8.4,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-15",18.4,13.8,29.3,12.4,7.5,16.4,1.23,8.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-16",18.3,13.8,29.2,12.4,7.3,16.5,1.3,9.4,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-17",18.2,13.9,29.2,12.4,7.2,16.5,1.38,10,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-18",18.1,13.8,29.1,12.4,7,16.6,1.46,10.5,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-19",18,13.8,29.1,12.4,6.9,16.5,1.53,11.1,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-20",17.9,13.8,29,12.4,6.7,16.5,1.61,11.6,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-21",17.8,13.7,29,12.3,6.6,16.5,1.68,12.1,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-22",17.8,13.7,29,12.2,6.5,16.5,1.75,12.7,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-23",17.7,13.6,29,12.2,6.4,16.4,1.82,13.3,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-24",17.7,13.6,29.1,12.1,6.3,16.4,1.89,13.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-25",17.7,13.5,29.1,12,6.3,16.3,1.96,14.5,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-26",17.7,13.4,29.1,11.9,6.2,16.2,2.02,15.1,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-27",17.7,13.3,29.2,11.8,6.2,16.2,2.09,15.7,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-28",17.7,13.2,29.3,11.8,6.1,16.1,2.15,16.2,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-29",17.7,13.1,29.3,11.7,6.1,16.1,2.22,16.8,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-30",17.8,13,29.4,11.6,6.1,16,2.28,17.3,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"01-31",17.9,12.9,29.5,11.5,6.2,15.9,2.35,17.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-01",17.9,12.8,29.7,11.4,6.2,15.8,0.07,0.6,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-02",18,12.7,29.8,11.3,6.3,15.7,0.13,1.3,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-03",18.1,12.6,29.9,11.2,6.3,15.6,0.2,1.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-04",18.3,12.5,30.1,11.1,6.4,15.6,0.26,2.6,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-05",18.4,12.4,30.3,11,6.5,15.5,0.32,3.2,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-06",18.6,12.3,30.5,10.9,6.6,15.4,0.39,3.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-07",18.7,12.3,30.7,10.8,6.8,15.4,0.46,4.6,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-08",18.9,12.2,30.9,10.8,6.9,15.3,0.52,5.2,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-09",19.1,12.1,31.1,10.7,7.1,15.3,0.59,5.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-10",19.3,12.1,31.3,10.6,7.3,15.2,0.66,6.6,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-11",19.5,12,31.6,10.6,7.4,15.2,0.73,7.4,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-12",19.7,11.9,31.8,10.5,7.6,15.2,0.79,8.1,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-13",20,11.9,32.1,10.4,7.9,15.1,0.86,8.8,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-14",20.2,11.8,32.3,10.4,8.1,15.1,0.93,9.5,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-15",20.5,11.8,32.6,10.3,8.3,15,1,10.2,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-16",20.7,11.7,32.9,10.3,8.6,15,1.07,10.9,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-17",21,11.7,33.2,10.3,8.8,15.1,1.14,11.6,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-18",21.3,11.7,33.5,10.3,9.1,15.1,1.21,12.3,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-19",21.6,11.7,33.7,10.4,9.4,15.1,1.28,13,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-20",21.9,11.8,34.1,10.4,9.7,15.1,1.36,13.7,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-21",22.2,11.7,34.4,10.4,10,15.1,1.43,14.4,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"02-22",22.5,11.7,34.7,10.4,10.3,15.1,1.5,15,128,"USC00432769",-72.8083,44.9094,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
