"STATION","Lat","Long","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"USC00432769",44.9094,-72.8083,"05450","Franklin County","VT",12,-72.951129,-72.642921,45.016421,44.791004
"USC00432843",44.5078,-73.1153,"05452","Chittenden County","VT",6,-73.146285,-72.971119,44.597455,44.468035
"USC00435416",44.5247,-72.8153,"05672","Lamoille County","VT",8,-72.838638,-72.596807,44.56298,44.398224
"USC00438172",44.665,-72.0233,"05867","Caledonia County","VT",8,-72.114503,-71.982246,44.749624,44.590519
"USC00435733",44.1647,-72.6567,"05663","Washington County","VT",7,-72.782261,-72.581623,44.219155,44.074986
"USC00270706",44.3064,-71.6575,"03574","Grafton County","NH",13,-71.79423,-71.412851,44.336498,44.166367
"USC00276945",43.7833,-71.65,"03245","Grafton County","NH",6,-71.686066,-71.522193,43.796563,43.691931
"USC00438169",44.6122,-72.0481,"05867","Caledonia County","VT",8,-72.114503,-71.982246,44.749624,44.590519
"USC00270681",44.0342,-71.9486,NA,NA,NA,NA,NA,NA,NA,NA
"USC00437612",44.0725,-72.9736,"05443","Addison County","VT",12,-73.164168,-72.905332,44.283015,44.034053
"USC00273850",43.7053,-72.2856,"03755","Grafton County","NH",8,-72.305987,-72.089389,43.770955,43.658591
"USC00438160",43.0908,-73.1244,"05250","Bennington County","VT",9,-73.270041,-73.080579,43.217605,43.025761
"USC00431243",43.3847,-72.5989,"05142","Windsor County","VT",6,-72.654126,-72.530174,43.452963,43.348125
"USW00014742",44.4683,-73.15,NA,NA,NA,NA,NA,NA,NA,NA
"USC00436995",43.6253,-72.9781,"05701","Rutland County","VT",9,-73.011453,-72.772829,43.706773,43.572058
"USC00437054",44.42,-72.0194,"05819","Caledonia County","VT",10,-72.103986,-71.837656,44.510398,44.321775
"USC00437098",43.9256,-73.0992,"05769","Addison County","VT",6,-73.18875,-73.038738,43.964339,43.86254
"USC00437032",44.8592,-73.0911,"05488","Franklin County","VT",11,-73.22771,-73.014032,45.015869,44.796383
"USC00431580",43.9572,-73.2106,"05753","Addison County","VT",9,-73.279992,-73.058211,44.092503,43.905416
"USC00435542",44.9489,-72.1911,"05855","Orleans County","VT",8,-72.308968,-72.076383,45.006185,44.863273
"USC00431363",44.0108,-72.4833,"05038","Orange County","VT",7,-72.538126,-72.382189,44.062387,43.929106
"USC00275629",43.3325,-72.0792,"03255","Merrimack County","NH",6,-72.090028,-71.943678,43.383411,43.255044
"USC00436893",43.8578,-72.8045,"05767","Windsor County","VT",9,-72.980165,-72.707792,43.961855,43.804338
"USC00434120",44.8128,-71.8903,"05846","Essex County","VT",13,-71.974318,-71.738969,44.876382,44.72766
"USC00275868",43.3772,-72.1811,"03773","Sullivan County","NH",12,-72.271861,-72.111368,43.49333,43.25416
"USC00439988",44.3747,-72.5822,"05682","Washington County","VT",7,-72.654398,-72.490548,44.479292,44.315041
"USC00437607",44.6264,-73.3031,"05486","Grand Isle County","VT",4,-73.359203,-73.251283,44.688384,44.588463
